channel_id,life_time,error
0,10927.757861723449,375.57601429876746
1,12205.669362725452,401.5343600458624
2,11439.056705410821,435.50127491446824
3,8860.532258517034,312.9323029324333
4,10361.783386773548,402.5925720949939
5,12420.04824448898,448.18372424732195
6,7882.9445811623245,331.2099854329501
7,18764.16397194389,642.209582990973
8,19602.19821442886,666.1714495930304
9,10583.451482965931,420.7049575440725
10,10931.891869739478,385.264802512567
11,7732.1988817635265,319.3300008632978
12,8374.878891783568,303.85080953799365
13,13680.13035470942,469.98768943986636
14,16122.012751503007,564.9737389993609
15,7597.631270541083,279.1698795383891
16,11787.108773547092,435.19518030028644
17,9929.284529058117,359.9939983082389
18,13311.469134268538,472.36750350199094
19,18482.46923246493,599.4818638375251
20,16108.916090180363,555.462623900241
21,17312.1956513026,595.1245118312485
22,4321.927060120241,134.29668965178976
23,19425.824553106213,612.8783471637693
24,22999.861979959922,828.6670683518723
25,11258.577577154307,389.3421031629746
26,14222.633256513025,471.01681888234384
27,15423.573567134268,497.8540779593405
28,15101.835368737475,531.6517665551221
29,9473.472979959917,372.44477897158555
30,11992.855885771542,423.9274785285016
31,10901.203082164327,474.5741239440434
32,14277.095617234469,525.0574337215492
33,11641.181901803606,444.73449327922225
34,12473.908294589179,478.11011563891185
35,20120.072813627252,661.0927795955603
36,9260.068280561123,331.47482847480484
37,13787.65651503006,428.92509794906596
38,6038.669150300601,201.34529290601475
39,10124.159623246494,356.9351708258124
40,17440.753893787576,554.3698692728427
41,17994.415751503006,591.0717206912257
42,12869.604370741483,468.2719082052764
43,6100.351635270541,219.0339695088527
44,14932.15721042084,542.02111783984
45,11095.76665731463,380.0313644843497
46,13769.644719438877,524.8415168747446
47,9403.346230460922,344.85020798111356
48,17731.4545490982,552.5445698297456
49,6066.249693386773,269.8770613697877
50,8898.03025250501,359.25678337171627
51,13061.650695390783,498.9129553972495
52,7860.868715430862,278.9276368917008
53,6893.962176352705,260.27120986248013
54,11086.976248496994,379.49779909939
55,6731.932791583166,282.469895436257
56,14091.52559719439,485.09940025961544
57,13830.06433466934,467.0936116012987
58,19132.66501202405,662.2995184193967
59,17171.556649298596,614.7902523191063
60,21982.988098196394,737.2794198876802
61,19612.57788176353,635.899849870148
62,5466.555082164327,245.365859893864
63,14465.004418837676,458.88735409457115
64,13667.794284569138,439.6256126326764
65,9348.046721442885,342.20134157271934
66,16837.071056112225,500.23401071145855
67,10598.46682965932,354.7609410641807
68,8215.897120240481,326.4748128647599
69,7711.739414829659,284.31310998444985
70,17296.036693386774,567.1796455284697
71,5045.782719438878,208.97446814466826
72,9026.04380961924,344.8095481218231
73,8564.73673547094,333.39433223134773
74,13736.342515030063,473.5646099598341
75,14204.031543086172,480.2455858366207
76,13436.039286573146,430.6334224898742
77,10746.562270541082,368.79599885902684
78,9169.974320641284,315.70231861576497
