id,sender_id,receiver_id,amount,start_time
0,2,1,1000000,40
1,1,3,1000000,300
2,0,1,1000000,335
3,0,3,1000000,345
4,1,3,1000000,387
5,1,3,1000000,402
6,1,3,1000000,433
7,0,2,1000000,470
8,1,2,1000000,543
9,0,2,1000000,557
10,0,2,1000000,558
11,0,3,1000000,706
12,1,3,1000000,716
13,0,1,1000000,855
14,3,2,1000000,883
15,1,3,1000000,930
16,0,3,1000000,956
17,0,1,1000000,979
18,2,3,1000000,988
19,0,2,1000000,1022
20,3,1,1000000,1023
21,0,2,1000000,1073
22,0,1,1000000,1125
23,1,0,1000000,1138
24,0,3,1000000,1161
25,3,1,1000000,1198
26,3,1,1000000,1288
27,0,3,1000000,1300
28,3,2,1000000,1476
29,0,3,1000000,1487
30,2,3,1000000,1508
31,0,2,1000000,1528
32,0,3,1000000,1607
33,1,0,1000000,1626
34,3,1,1000000,1633
35,3,2,1000000,1645
36,2,3,1000000,1662
37,1,2,1000000,1702
38,2,3,1000000,1711
39,3,2,1000000,1748
40,0,3,1000000,1769
41,0,2,1000000,1877
42,0,3,1000000,1896
43,1,0,1000000,1901
44,0,2,1000000,1907
45,1,3,1000000,1908
46,1,2,1000000,1946
47,1,3,1000000,2001
48,1,0,1000000,2013
49,1,3,1000000,2018
50,1,0,1000000,2063
51,3,1,1000000,2109
52,3,1,1000000,2236
53,1,3,1000000,2281
54,2,1,1000000,2295
55,3,2,1000000,2388
56,1,2,1000000,2438
57,2,3,1000000,2465
58,3,1,1000000,2484
59,3,2,1000000,2495
60,0,2,1000000,2513
61,1,3,1000000,2515
62,0,3,1000000,2567
63,1,3,1000000,2636
64,0,2,1000000,2698
65,0,1,1000000,2782
66,1,3,1000000,2816
67,1,3,1000000,2826
68,1,3,1000000,2832
69,1,3,1000000,2919
70,0,3,1000000,2939
71,3,1,1000000,3051
72,2,3,1000000,3095
73,1,0,1000000,3112
74,0,1,1000000,3175
75,0,3,1000000,3227
76,0,2,1000000,3230
77,0,2,1000000,3251
78,0,3,1000000,3258
79,1,0,1000000,3278
80,0,3,1000000,3344
81,3,2,1000000,3373
82,0,3,1000000,3380
83,1,3,1000000,3509
84,0,1,1000000,3519
85,0,3,1000000,3541
86,1,2,1000000,3542
87,2,3,1000000,3561
88,0,1,1000000,3563
89,0,1,1000000,3590
90,0,2,1000000,3689
91,1,2,1000000,3700
92,0,2,1000000,3739
93,2,3,1000000,3743
94,1,3,1000000,3757
95,0,2,1000000,3936
96,1,2,1000000,3941
97,1,0,1000000,3965
98,2,3,1000000,4002
99,0,3,1000000,4031
100,1,3,1000000,4111
101,2,3,1000000,4113
102,3,2,1000000,4158
103,0,3,1000000,4197
104,0,1,1000000,4241
105,1,0,1000000,4324
106,0,2,1000000,4404
107,1,2,1000000,4411
108,1,0,1000000,4424
109,1,2,1000000,4450
110,2,3,1000000,4527
111,3,2,1000000,4558
112,0,3,1000000,4596
113,0,3,1000000,4644
114,0,1,1000000,4839
115,1,3,1000000,4863
116,1,3,1000000,4878
117,0,2,1000000,4914
118,0,2,1000000,4944
119,2,0,1000000,4999
120,1,3,1000000,5048
121,2,3,1000000,5124
122,2,3,1000000,5129
123,0,3,1000000,5231
124,0,1,1000000,5434
125,1,0,1000000,5494
126,1,3,1000000,5516
127,2,1,1000000,5539
128,1,2,1000000,5543
129,3,0,1000000,5627
130,0,1,1000000,5628
131,0,3,1000000,5666
132,0,1,1000000,5668
133,1,3,1000000,5738
134,0,3,1000000,5739
135,2,3,1000000,5779
136,0,2,1000000,5816
137,0,2,1000000,5881
138,1,0,1000000,5894
139,1,3,1000000,5917
140,1,3,1000000,5943
141,1,3,1000000,5976
142,1,2,1000000,6019
143,0,2,1000000,6020
144,0,2,1000000,6067
145,0,3,1000000,6099
146,1,2,1000000,6112
147,1,3,1000000,6123
148,2,0,1000000,6196
149,1,0,1000000,6231
150,0,1,1000000,6270
151,2,3,1000000,6314
152,3,2,1000000,6318
153,0,1,1000000,6383
154,0,3,1000000,6426
155,1,3,1000000,6452
156,2,3,1000000,6460
157,0,3,1000000,6474
158,2,1,1000000,6499
159,0,3,1000000,6508
160,3,1,1000000,6522
161,0,3,1000000,6534
162,0,2,1000000,6628
163,1,2,1000000,6650
164,0,2,1000000,6661
165,3,1,1000000,6700
166,1,3,1000000,6739
167,2,1,1000000,6748
168,2,3,1000000,6760
169,1,3,1000000,6805
170,1,2,1000000,6811
171,1,3,1000000,6827
172,3,1,1000000,6853
173,3,2,1000000,6879
174,0,3,1000000,6981
175,0,2,1000000,6990
176,0,2,1000000,7010
177,2,0,1000000,7039
178,3,1,1000000,7067
179,1,2,1000000,7085
