channel_id,life_time
0,8.126364140093719
1,4.51665548241317
2,1.7327902704509082
3,2.1015338850760896
4,1.3196907437298302
5,0.9938298353574678
6,3.4645072282341314
7,1.9876230019055967
8,1.474392092215896
9,2.6954339867211505
10,1.4521876370261455
11,2.7200641293444425
12,2.0600491225155446
13,10.568054702310341
14,1.3586409322224244
15,9.185611565952867
16,8.69629568811196
17,4.369385040392102
18,1.3587727280746251
19,4.199798460680793
20,8.257355402714964
21,2.8791133029616587
22,1.0848970281328238
23,3.3319406400088916
24,6.3558700909327035
25,0.9016643476284076
26,6.9507883480194375
27,1.2819586849509907
