channel_id,life_time,error,count
0,11827.299823293175,274.85346659914535,996
1,11706.561115461847,271.4411797560599,996
2,12148.829083333334,300.25783147143875,996
3,9171.261583333333,218.66495359525595,996
4,10230.780322289156,273.86406483878585,996
5,12247.43638052209,322.33176017355174,996
6,7469.393802208835,185.88703624614536,996
7,19690.481348393576,439.3986934039675,996
8,19069.67783232932,421.2826330702716,996
9,10720.630776104419,285.6039273268787,996
10,10321.562370481926,258.50399541113336,996
11,7591.792035140562,222.11953160395183,996
12,8639.082473895582,230.48778005734843,996
13,14189.826854417672,368.0576383443744,996
14,16171.895317907443,426.89445817656076,994
15,7295.889493975903,200.1154340271223,996
16,11789.44882630522,296.208532788944,996
17,9101.991444779116,235.97499653833955,996
18,14039.786029116467,349.53122659164165,996
19,16707.266289156625,377.62155258034693,996
20,16248.808148594377,392.7871791299801,996
21,16030.034120481929,379.7989242443751,996
22,4358.26244879518,96.18919109804793,996
23,19070.774134673364,463.7293396402401,995
24,21735.095398390342,513.1698937735554,994
25,12381.733659638556,331.33890250823305,996
26,13133.210953815262,320.2748741133798,996
27,14885.970290160643,351.32135749068516,996
28,15229.445101405623,377.65111213993373,996
29,9594.971136546184,241.94521800855733,996
30,11788.847729919678,266.67331723420193,996
31,10987.602732663318,305.18137124110274,995
32,14011.591526104417,339.24670341966083,996
33,11007.50538253012,294.24834204311094,996
34,12600.019106425703,333.04692840445796,996
35,20285.54282779456,462.7635404186403,993
36,8898.279700803212,227.35437009634796,996
37,14255.408529116465,330.0394164511355,996
38,6062.537186746988,148.30269397564274,996
39,10364.037177710843,265.67672528005687,996
40,16845.98003115578,390.2257356615594,995
41,17785.81908040201,401.98968409697187,995
42,12217.12879618474,288.24487462232514,996
43,5871.363426706826,145.85440691199545,996
44,14364.825199799197,349.4446613788969,996
45,11698.035788152612,280.27516972032976,996
46,13182.848609437751,327.4530854488649,996
47,9534.852005020079,252.0325109510079,996
48,17910.7989497992,430.1483534924327,996
49,5812.485411646586,183.6152284597013,996
