channel_id,life_time
0,32.16739901219265
1,30.16278919459492
2,21.182562413583018
3,22.25621227556979
4,31.509773405794487
5,21.573590550311213
6,27.683799529167572
7,22.676171786285547
8,33.77897121460166
9,23.458849241022065
10,30.402381864293886
11,27.852469816992393
12,21.678794952472213
13,24.32456499366969
14,20.420758086334697
15,30.29887617900077
16,21.329649497887377
17,31.397738171369433
18,30.817676475833373
19,18.24101939400007
20,21.72043440915844
21,18.10466668860992
22,19.112166386948285
23,34.195542552487225
24,24.74730078708247
25,29.561404881492933
26,22.128796796452498
27,30.9501751272389
28,18.473583923675235
29,29.751677738338785
30,26.306517388392084
31,23.08902035146668
32,27.876245093956086
33,27.724578206333586
