channel_id,life_time
0,4.304910089208478
1,2.2648641253415427
2,3.6780518497299197
3,4.2374033554893025
4,2.2876553545174616
5,1.36935488947254
6,2.5383070208696084
7,1.342711416571896
8,8.743785047702517
9,1.3870006957899839
10,1.7461399341123116
11,2.484451697974217
12,1.7909129080325048
13,2.4880521895111856
14,5.212263602083044
15,1.7895838846757943
16,2.717279887673982
17,2.0699576292418986
18,3.2270268366395207
19,5.638657492566918
20,6.522716932555019
21,6.375105383166952
22,2.6620306180531577
23,15.750298061675464
24,5.460506481911581
25,3.2241995559529673
26,1.8371015082115323
27,2.7085125215949937
28,1.2902660149673342
29,1.4749236749699808
30,1.769316474932767
31,2.369859952534306
32,5.086312483298614
33,1.5949763173377216
